index,x,y
793,2606,1222.3552631578948
794,2799,1269.1052631578948
795,2839,1255.3157894736842
796,2935,1224.671052631579
797,3132,1226.157894736842
798,3205,1224.5131578947369
799,3935,1221.9868421052631
800,166,1262.842105263158
801,953,1260.6842105263158
802,1044,1261.0131578947369
803,1176,1260.6447368421052
804,1379,1301.4868421052631
805,1419,1297.3026315789473
806,1655,1264.2763157894738
807,1862,1264.8026315789473
808,1972,1260.1973684210527
809,2079,1265.8684210526317
810,2184,1262.5657894736842
811,2300,1262.8815789473683
812,2399,1263.5657894736842
813,2516,1261.657894736842
814,2606,1261.5131578947369
815,2786,1259.9605263157894
816,2799,1307.4473684210527
817,2839,1292.7105263157894
818,2934,1263.8552631578948
819,3132,1263.657894736842
820,3205,1265.8815789473683
821,164,1300.5657894736842
822,962,1299.1052631578948
823,1045,1299.157894736842
824,1179,1298.578947368421
825,1379,1341.1315789473683
826,1419,1336.407894736842
827,1656,1301.7236842105262
828,1864,1301.9736842105262
829,1972,1298.5
830,2080,1304.0526315789473
831,2185,1300.6052631578948
832,2300,1301.7105263157894
833,2399,1299.6842105263158
834,2516,1299.6052631578948
835,2607,1299.0657894736842
836,2799,1345.1447368421052
837,2839,1330.2368421052631
838,2934,1300.921052631579
839,3132,1302.078947368421
840,3205,1300.6842105263158
841,3641,1299.578947368421
842,166,1338.8552631578948
843,963,1336.7236842105262
844,1045,1337.3157894736842
845,1178,1336.671052631579
846,1379,1378.25
847,1419,1374.0526315789473
848,1462,1336.407894736842
849,1656,1340.842105263158
850,1863,1341.842105263158
851,1972,1337.5526315789473
852,2081,1342.5131578947369
853,2185,1337.1184210526317
854,2300,1341.0263157894738
855,2400,1338.1973684210527
856,2517,1337.157894736842
857,2594,1335.9868421052631
858,2606,1337.3157894736842
859,2799,1383.2368421052631
860,2839,1368.842105263158
861,2936,1339.0526315789473
862,3133,1341.1184210526317
863,3206,1337.671052631579
864,3641,1336.4342105263158
865,164,1376.9342105263158
866,962,1375.0526315789473
867,1045,1374.6052631578948
868,1179,1374.9736842105262
869,1379,1417.9605263157894
870,1419,1411.4605263157894
871,1658,1378.0
872,1864,1378.921052631579
873,2082,1378.9868421052631
874,2186,1377.5131578947369
875,2301,1379.8552631578948
876,2400,1377.078947368421
877,2606,1375.7368421052631
878,2786,1373.907894736842
879,2799,1420.4736842105262
880,2839,1407.6973684210527
881,2936,1375.8684210526317
882,2946,1375.921052631579
883,3133,1377.828947368421
884,3206,1375.5526315789473
885,3642,1374.0394736842106
886,3981,1374.25
887,164,1414.578947368421
888,846,1411.907894736842
889,963,1413.3552631578948
890,1045,1412.4605263157894
891,1179,1413.092105263158
892,1379,1456.3815789473683
893,1419,1450.3684210526317
894,1463,1412.1315789473683
895,1658,1416.4473684210527
896,1865,1418.3026315789473
897,1973,1412.7105263157894
898,2082,1417.8552631578948
899,2186,1412.9605263157894
900,2301,1416.9868421052631
901,2399,1414.2236842105262
902,2522,1415.8552631578948
903,2606,1413.9868421052631
904,2799,1459.2368421052631
905,2839,1445.5657894736842
906,2936,1415.3684210526317
907,2947,1412.342105263158
908,3010,1412.5657894736842
909,3134,1415.7631578947369
910,3207,1413.842105263158
911,3980,1412.4736842105262
912,164,1453.25
913,962,1450.6842105263158
914,1045,1451.8815789473683
915,1179,1450.6842105263158
916,1379,1494.0263157894738
917,1419,1488.2236842105262
918,1658,1453.7368421052631
919,1865,1455.6447368421052
920,2082,1454.5526315789473
921,2187,1452.1842105263158
922,2302,1453.907894736842
923,2401,1451.9605263157894
924,2517,1451.7236842105262
925,2607,1451.9736842105262
926,2799,1497.8026315789473
927,2840,1483.1184210526317
928,2937,1453.157894736842
929,2948,1452.407894736842
930,3134,1454.2236842105262
931,3207,1451.1973684210527
932,3980,1450.342105263158
933,164,1490.592105263158
934,963,1488.9736842105262
935,1046,1489.2105263157894
936,1179,1490.4473684210527
937,1379,1532.4868421052631
938,1419,1526.2236842105262
939,1462,1488.1447368421052
940,1658,1492.2368421052631
941,1866,1492.9736842105262
942,2082,1492.9868421052631
943,2187,1489.1842105263158
944,2302,1491.2368421052631
945,2401,1490.0526315789473
946,2518,1490.6315789473683
947,2608,1489.7236842105262
948,2799,1535.4605263157894
949,2839,1521.171052631579
950,2938,1491.4868421052631
951,2948,1489.2368421052631
952,3135,1492.4868421052631
953,3208,1489.657894736842
954,164,1528.9605263157894
955,956,1527.1447368421052
956,1046,1526.592105263158
957,1179,1527.2763157894738
958,1379,1570.5657894736842
959,1419,1564.0526315789473
960,1464,1526.592105263158
961,1659,1530.9342105263158
962,1767,1526.3684210526317
963,1865,1531.4736842105262
964,1975,1527.1184210526317
965,2083,1531.1315789473683
966,2188,1527.4605263157894
967,2302,1530.657894736842
968,2401,1528.1184210526317
969,2518,1526.6842105263158
970,2608,1527.407894736842
971,2799,1573.3157894736842
972,2840,1558.4342105263158
973,2938,1529.3552631578948
974,2948,1527.8684210526317
975,3135,1531.407894736842
976,3208,1528.657894736842
977,3980,1526.8815789473683
978,164,1566.2368421052631
979,846,1564.2105263157894
980,964,1564.578947368421
981,1179,1565.1973684210527
982,1379,1609.0
983,1419,1602.1447368421052
984,1462,1564.407894736842
985,1658,1566.8157894736842
986,1866,1569.342105263158
987,2083,1569.4605263157894
988,2188,1566.078947368421
989,2302,1568.5131578947369
